# retail_sha256=5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3
# Analyzer starts are evidence only; sizes never override FPO/structural extents.
rva	size	real_size	instructions	name	source
0x09e940	0x192	0x192	140	fcn.0049e940	radare2 -AA/aflj; start evidence only
0x09eae0	0x164	0x164	145	fcn.0049eae0	radare2 -AA/aflj; start evidence only
0x09ec50	0x272	0x272	238	fcn.0049ec50	radare2 -AA/aflj; start evidence only
0x09eed0	0x1e	0x1e	11	fcn.0049eed0	radare2 -AA/aflj; start evidence only
0x09eef0	0x47	0x47	32	fcn.0049eef0	radare2 -AA/aflj; start evidence only
0x09ef40	0x157	0x13f	100	fcn.0049ef40	radare2 -AA/aflj; start evidence only
0x09f0a0	0x1156	0x1156	1418	fcn.0049f0a0	radare2 -AA/aflj; start evidence only
0x0a0200	0x7f	0x7f	37	fcn.004a0200	radare2 -AA/aflj; start evidence only
0x0a0280	0x59	0x59	35	fcn.004a0280	radare2 -AA/aflj; start evidence only
0x0a02e0	0x11a8	0x11a8	1445	fcn.004a02e0	radare2 -AA/aflj; start evidence only
0x0a1490	0x351	0x351	289	fcn.004a1490	radare2 -AA/aflj; start evidence only
0x0a17f0	0x240	0x240	196	fcn.004a17f0	radare2 -AA/aflj; start evidence only
0x0a1a30	0x113	0x113	92	fcn.004a1a30	radare2 -AA/aflj; start evidence only
0x0a1b50	0x290	0x290	222	fcn.004a1b50	radare2 -AA/aflj; start evidence only
0x0a1de0	0x19a	0x182	132	fcn.004a1de0	radare2 -AA/aflj; start evidence only
0x0a1f80	0x6d1	0x6d1	536	fcn.004a1f80	radare2 -AA/aflj; start evidence only
0x0a2660	0x115	0x115	111	fcn.004a2660	radare2 -AA/aflj; start evidence only
0x0a2780	0x43	0x43	31	fcn.004a2780	radare2 -AA/aflj; start evidence only
0x0a27d0	0x86	0x86	36	fcn.004a27d0	radare2 -AA/aflj; start evidence only
0x0a2880	0x92	0x92	41	fcn.004a2880	radare2 -AA/aflj; start evidence only
0x0a2920	0xa1	0xa1	47	fcn.004a2920	radare2 -AA/aflj; start evidence only
0x0a29d0	0x92	0x92	37	fcn.004a29d0	radare2 -AA/aflj; start evidence only
0x0a2a70	0x56	0x56	32	fcn.004a2a70	radare2 -AA/aflj; start evidence only
0x0a2ad0	0x46	0x46	20	fcn.004a2ad0	radare2 -AA/aflj; start evidence only
0x0a2b20	0xe2	0xe2	88	fcn.004a2b20	radare2 -AA/aflj; start evidence only
0x0a2c10	0x54	0x54	30	fcn.004a2c10	radare2 -AA/aflj; start evidence only
0x0a2c70	0x41	0x41	19	fcn.004a2c70	radare2 -AA/aflj; start evidence only
0x0a2f40	0x3b	0x3b	23	fcn.004a2f40	radare2 -AA/aflj; start evidence only
0x0a2f80	0x541	0x541	411	fcn.004a2f80	radare2 -AA/aflj; start evidence only
0x0a34d0	0x107	0x107	78	fcn.004a34d0	radare2 -AA/aflj; start evidence only
0x0a35e0	0x55	0x55	26	fcn.004a35e0	radare2 -AA/aflj; start evidence only
0x0a3640	0xd7	0xd7	67	fcn.004a3640	radare2 -AA/aflj; start evidence only
0x0a3720	0x48	0x48	26	fcn.004a3720	radare2 -AA/aflj; start evidence only
0x0a3770	0x1e1	0x1e1	142	fcn.004a3770	radare2 -AA/aflj; start evidence only
0x0a3970	0x1d9	0x1d9	131	fcn.004a3970	radare2 -AA/aflj; start evidence only
0x0a3ca0	0xeb	0xeb	70	fcn.004a3ca0	radare2 -AA/aflj; start evidence only
0x0a3d90	0xbd	0xbd	63	fcn.004a3d90	radare2 -AA/aflj; start evidence only
0x0a4040	0x113	0x113	87	fcn.004a4040	radare2 -AA/aflj; start evidence only
0x0a4430	0x29	0x29	17	fcn.004a4430	radare2 -AA/aflj; start evidence only
0x0a4460	0x2f	0x2f	18	fcn.004a4460	radare2 -AA/aflj; start evidence only
0x0a4490	0x2f	0x2f	18	fcn.004a4490	radare2 -AA/aflj; start evidence only
0x0a44c0	0x35	0x35	19	fcn.004a44c0	radare2 -AA/aflj; start evidence only
0x0a4500	0x1c	0x1c	6	fcn.004a4500	radare2 -AA/aflj; start evidence only
0x0a49d0	0x54	0x54	39	fcn.004a49d0	radare2 -AA/aflj; start evidence only
0x0a5040	0xc9	0xc9	59	fcn.004a5040	radare2 -AA/aflj; start evidence only
0x0a5110	0x15	0x15	3	fcn.004a5110	radare2 -AA/aflj; start evidence only
0x0a5130	0xeb	0xeb	76	fcn.004a5130	radare2 -AA/aflj; start evidence only
0x0a54f0	0x34	0x34	19	fcn.004a54f0	radare2 -AA/aflj; start evidence only
0x0a5530	0x34	0x34	19	fcn.004a5530	radare2 -AA/aflj; start evidence only
0x0a5570	0x39	0x39	20	fcn.004a5570	radare2 -AA/aflj; start evidence only
0x0a55b0	0x39	0x39	20	fcn.004a55b0	radare2 -AA/aflj; start evidence only
0x0a5a40	0xf6	0xf6	78	fcn.004a5a40	radare2 -AA/aflj; start evidence only
0x0a5b40	0x99	0x99	39	fcn.004a5b40	radare2 -AA/aflj; start evidence only
0x0a5c70	0x101	0x101	82	fcn.004a5c70	radare2 -AA/aflj; start evidence only
0x0a5e80	0xdb	0xdb	71	fcn.004a5e80	radare2 -AA/aflj; start evidence only
0x0a62d0	0x4d	0x4d	30	fcn.004a62d0	radare2 -AA/aflj; start evidence only
0x0a6570	0xc4	0xc4	76	fcn.004a6570	radare2 -AA/aflj; start evidence only
0x0a66e0	0x11	0x11	7	fcn.004a66e0	radare2 -AA/aflj; start evidence only
0x0a67c0	0x2ac	0x2ac	201	fcn.004a67c0	radare2 -AA/aflj; start evidence only
0x0a6a6c	0x26	0x26	14	fcn.004a6a6c	radare2 -AA/aflj; start evidence only
0x0a6a92	0x143	0x143	66	fcn.004a6a92	radare2 -AA/aflj; start evidence only
0x0a6bd5	0x134	0x134	71	fcn.004a6bd5	radare2 -AA/aflj; start evidence only
0x0a6d09	0x128	0x128	65	fcn.004a6d09	radare2 -AA/aflj; start evidence only
0x0a6e31	0x292	0x292	191	fcn.004a6e31	radare2 -AA/aflj; start evidence only
0x0a70c3	0x60	0x60	31	fcn.004a70c3	radare2 -AA/aflj; start evidence only
0x0a7123	0x3bb	0x3bb	266	fcn.004a7123	radare2 -AA/aflj; start evidence only
0x0a75aa	0xae	0xae	57	fcn.004a75aa	radare2 -AA/aflj; start evidence only
0x0a7658	0x27a	0x27a	203	fcn.004a7658	radare2 -AA/aflj; start evidence only
0x0a78d2	0x7f	0x7f	42	fcn.004a78d2	radare2 -AA/aflj; start evidence only
0x0a7951	0x3f9	0x3f9	203	fcn.004a7951	radare2 -AA/aflj; start evidence only
0x0a7d4a	0x29f	0x29f	188	fcn.004a7d4a	radare2 -AA/aflj; start evidence only
0x0a7fe9	0xcc	0xcc	68	fcn.004a7fe9	radare2 -AA/aflj; start evidence only
0x0a80b5	0x2f	0x2f	20	fcn.004a80b5	radare2 -AA/aflj; start evidence only
0x0a80e4	0x171	0x171	105	fcn.004a80e4	radare2 -AA/aflj; start evidence only
0x0a8255	0x16d	0x16d	103	fcn.004a8255	radare2 -AA/aflj; start evidence only
0x0a83c2	0x63	0x63	30	fcn.004a83c2	radare2 -AA/aflj; start evidence only
0x0a8425	0x19f	0x19f	126	fcn.004a8425	radare2 -AA/aflj; start evidence only
0x0a85c4	0x372	0x372	205	fcn.004a85c4	radare2 -AA/aflj; start evidence only
0x0a8936	0x21d	0x21d	149	fcn.004a8936	radare2 -AA/aflj; start evidence only
0x0a8b53	0x58b	0x58b	383	fcn.004a8b53	radare2 -AA/aflj; start evidence only
0x0a90de	0xa7	0xa7	44	fcn.004a90de	radare2 -AA/aflj; start evidence only
0x0a9185	0x155	0x155	96	fcn.004a9185	radare2 -AA/aflj; start evidence only
0x0a92fa	0x6a	0x6a	31	fcn.004a92fa	radare2 -AA/aflj; start evidence only
0x0a9364	0xc3	0xc3	56	fcn.004a9364	radare2 -AA/aflj; start evidence only
0x0a9427	0xb7	0xb7	57	fcn.004a9427	radare2 -AA/aflj; start evidence only
0x0a94de	0x49	0x49	24	fcn.004a94de	radare2 -AA/aflj; start evidence only
0x0a9527	0x2e	0x2e	16	fcn.004a9527	radare2 -AA/aflj; start evidence only
0x0a9555	0x27	0x27	14	fcn.004a9555	radare2 -AA/aflj; start evidence only
0x0a957c	0x104	0x104	70	fcn.004a957c	radare2 -AA/aflj; start evidence only
0x0a9680	0x7f	0x7f	35	fcn.004a9680	radare2 -AA/aflj; start evidence only
0x0a96ff	0x1cc	0x1cc	127	fcn.004a96ff	radare2 -AA/aflj; start evidence only
0x0a98cb	0x150	0x150	93	fcn.004a98cb	radare2 -AA/aflj; start evidence only
0x0a9a1b	0x102	0x102	77	fcn.004a9a1b	radare2 -AA/aflj; start evidence only
0x0a9b1d	0x142	0x142	79	fcn.004a9b1d	radare2 -AA/aflj; start evidence only
0x0a9c5f	0x6ab	0x6ab	453	fcn.004a9c5f	radare2 -AA/aflj; start evidence only
0x0aa30a	0x69f	0x69f	447	fcn.004aa30a	radare2 -AA/aflj; start evidence only
0x0aa9a9	0x59	0x59	24	fcn.004aa9a9	radare2 -AA/aflj; start evidence only
0x0aaa02	0x137	0x137	80	fcn.004aaa02	radare2 -AA/aflj; start evidence only
0x0aab39	0xeb	0xeb	67	fcn.004aab39	radare2 -AA/aflj; start evidence only
0x0aac24	0xde	0xde	63	fcn.004aac24	radare2 -AA/aflj; start evidence only
0x0aad02	0x9d	0x9d	47	fcn.004aad02	radare2 -AA/aflj; start evidence only
0x0aad9f	0xfb	0xfb	70	fcn.004aad9f	radare2 -AA/aflj; start evidence only
0x0aae9a	0xfb	0xfb	70	fcn.004aae9a	radare2 -AA/aflj; start evidence only
0x0aaf95	0xca	0xca	56	fcn.004aaf95	radare2 -AA/aflj; start evidence only
0x0ab05f	0x7d	0x7d	38	fcn.004ab05f	radare2 -AA/aflj; start evidence only
0x0ab0dc	0x7d	0x7d	38	fcn.004ab0dc	radare2 -AA/aflj; start evidence only
0x0ab159	0x57	0x57	27	fcn.004ab159	radare2 -AA/aflj; start evidence only
0x0ab1b0	0x4b	0x4b	25	fcn.004ab1b0	radare2 -AA/aflj; start evidence only
0x0ab1fb	0x113	0x113	91	fcn.004ab1fb	radare2 -AA/aflj; start evidence only
0x0ab30e	0x945	0x945	610	fcn.004ab30e	radare2 -AA/aflj; start evidence only
0x0abc53	0x14c	0x14c	82	fcn.004abc53	radare2 -AA/aflj; start evidence only
0x0abd9f	0x89	0x89	39	fcn.004abd9f	radare2 -AA/aflj; start evidence only
0x0abe28	0x74	0x74	38	fcn.004abe28	radare2 -AA/aflj; start evidence only
0x0abe9c	0x29a	0x29a	186	fcn.004abe9c	radare2 -AA/aflj; start evidence only
0x0ac136	0x59	0x59	25	fcn.004ac136	radare2 -AA/aflj; start evidence only
0x0ac18f	0x2e9	0x2e9	191	fcn.004ac18f	radare2 -AA/aflj; start evidence only
0x0ac478	0x2dd	0x2dd	185	fcn.004ac478	radare2 -AA/aflj; start evidence only
0x0ac755	0x68	0x68	26	fcn.004ac755	radare2 -AA/aflj; start evidence only
0x0ac7bd	0x1c4	0x1c4	116	fcn.004ac7bd	radare2 -AA/aflj; start evidence only
0x0ac981	0x152	0x152	107	fcn.004ac981	radare2 -AA/aflj; start evidence only
0x0acad3	0xd	0xd	8	fcn.004acad3	radare2 -AA/aflj; start evidence only
0x0acae0	0xc5b	0xc5b	934	fcn.004acae0	radare2 -AA/aflj; start evidence only
0x0ad74b	0x26	0x26	14	fcn.004ad74b	radare2 -AA/aflj; start evidence only
0x0ad771	0x70	0x70	40	fcn.004ad771	radare2 -AA/aflj; start evidence only
0x0ad7e1	0x8e	0x8e	44	fcn.004ad7e1	radare2 -AA/aflj; start evidence only
0x0ad86f	0x190	0x190	112	fcn.004ad86f	radare2 -AA/aflj; start evidence only
0x0ada0f	0x25	0x25	11	fcn.004ada0f	radare2 -AA/aflj; start evidence only
0x0ada34	0x147	0x147	111	fcn.004ada34	radare2 -AA/aflj; start evidence only
0x0adb7b	0xca	0xca	61	fcn.004adb7b	radare2 -AA/aflj; start evidence only
0x0adc50	0x2b	0x2b	17	fcn.004adc50	radare2 -AA/aflj; start evidence only
0x0adc80	0x19	0x19	11	fcn.004adc80	radare2 -AA/aflj; start evidence only
0x0adca0	0x19	0x19	11	fcn.004adca0	radare2 -AA/aflj; start evidence only
0x0adcc0	0x2b	0x2b	17	fcn.004adcc0	radare2 -AA/aflj; start evidence only
0x0adcf0	0xe	0xe	8	fcn.004adcf0	radare2 -AA/aflj; start evidence only
0x0add00	0x29	0x29	17	fcn.004add00	radare2 -AA/aflj; start evidence only
0x0add30	0x3f	0x3f	25	fcn.004add30	radare2 -AA/aflj; start evidence only
0x0add70	0xe	0xe	8	fcn.004add70	radare2 -AA/aflj; start evidence only
0x0add80	0x11	0x11	9	fcn.004add80	radare2 -AA/aflj; start evidence only
0x0adda0	0xe	0xe	8	fcn.004adda0	radare2 -AA/aflj; start evidence only
0x0addb0	0x1f	0x1f	14	fcn.004addb0	radare2 -AA/aflj; start evidence only
0x0addd0	0x1f	0x1f	14	fcn.004addd0	radare2 -AA/aflj; start evidence only
0x0addf0	0x2b	0x2b	17	fcn.004addf0	radare2 -AA/aflj; start evidence only
0x0ade20	0x11	0x11	9	fcn.004ade20	radare2 -AA/aflj; start evidence only
0x0ade40	0x17	0x17	11	fcn.004ade40	radare2 -AA/aflj; start evidence only
0x0ade60	0x19	0x19	11	fcn.004ade60	radare2 -AA/aflj; start evidence only
0x0ade80	0x11	0x11	9	fcn.004ade80	radare2 -AA/aflj; start evidence only
0x0adea0	0x38	0x38	23	fcn.004adea0	radare2 -AA/aflj; start evidence only
0x0adee0	0x19	0x19	11	fcn.004adee0	radare2 -AA/aflj; start evidence only
0x0adf00	0x47	0x47	20	fcn.004adf00	radare2 -AA/aflj; start evidence only
0x0adf50	0x11	0x11	9	fcn.004adf50	radare2 -AA/aflj; start evidence only
0x0adf70	0x17	0x17	11	fcn.004adf70	radare2 -AA/aflj; start evidence only
0x0adf90	0x2b	0x2b	17	fcn.004adf90	radare2 -AA/aflj; start evidence only
0x0adfc0	0x19	0x19	11	fcn.004adfc0	radare2 -AA/aflj; start evidence only
0x0adfe0	0x47	0x47	20	fcn.004adfe0	radare2 -AA/aflj; start evidence only
0x0ae030	0x11	0x11	9	fcn.004ae030	radare2 -AA/aflj; start evidence only
0x0ae050	0x14	0x14	10	fcn.004ae050	radare2 -AA/aflj; start evidence only
0x0ae070	0x2b	0x2b	17	fcn.004ae070	radare2 -AA/aflj; start evidence only
0x0ae0a0	0x38	0x38	23	fcn.004ae0a0	radare2 -AA/aflj; start evidence only
0x0ae0e0	0x19	0x19	11	fcn.004ae0e0	radare2 -AA/aflj; start evidence only
0x0ae100	0x19	0x19	11	fcn.004ae100	radare2 -AA/aflj; start evidence only
0x0ae120	0x35	0x35	21	fcn.004ae120	radare2 -AA/aflj; start evidence only
0x0ae160	0x24	0x24	15	fcn.004ae160	radare2 -AA/aflj; start evidence only
0x0ae190	0x1c	0x1c	12	fcn.004ae190	radare2 -AA/aflj; start evidence only
0x0ae1b0	0x11	0x11	9	fcn.004ae1b0	radare2 -AA/aflj; start evidence only
0x0ae1d0	0x11	0x11	9	fcn.004ae1d0	radare2 -AA/aflj; start evidence only
0x0ae1f0	0x18	0x18	9	fcn.004ae1f0	radare2 -AA/aflj; start evidence only
0x0ae210	0x18	0x18	9	fcn.004ae210	radare2 -AA/aflj; start evidence only
0x0ae230	0x19	0x19	11	fcn.004ae230	radare2 -AA/aflj; start evidence only
0x0ae250	0x38	0x38	22	fcn.004ae250	radare2 -AA/aflj; start evidence only
0x0ae290	0x1e	0x1e	12	fcn.004ae290	radare2 -AA/aflj; start evidence only
0x0ae2b0	0x24	0x24	15	fcn.004ae2b0	radare2 -AA/aflj; start evidence only
0x0ae2e0	0x3b	0x3b	23	fcn.004ae2e0	radare2 -AA/aflj; start evidence only
0x0ae320	0x19	0x19	11	fcn.004ae320	radare2 -AA/aflj; start evidence only
0x0ae340	0x35	0x35	21	fcn.004ae340	radare2 -AA/aflj; start evidence only
0x0ae380	0x24	0x24	15	fcn.004ae380	radare2 -AA/aflj; start evidence only
0x0ae3b0	0x3b	0x3b	23	fcn.004ae3b0	radare2 -AA/aflj; start evidence only
0x0ae3f0	0x1c	0x1c	13	fcn.004ae3f0	radare2 -AA/aflj; start evidence only
0x0ae410	0x19	0x19	12	fcn.004ae410	radare2 -AA/aflj; start evidence only
0x0ae430	0x15	0x15	10	fcn.004ae430	radare2 -AA/aflj; start evidence only
0x0ae450	0x22	0x22	14	fcn.004ae450	radare2 -AA/aflj; start evidence only
0x0ae480	0x11	0x11	9	fcn.004ae480	radare2 -AA/aflj; start evidence only
0x0ae4a0	0x10	0x10	8	fcn.004ae4a0	radare2 -AA/aflj; start evidence only
0x0ae4b0	0x10	0x10	8	fcn.004ae4b0	radare2 -AA/aflj; start evidence only
0x0ae4c0	0xe	0xe	8	fcn.004ae4c0	radare2 -AA/aflj; start evidence only
0x0ae4d0	0x1c	0x1c	12	fcn.004ae4d0	radare2 -AA/aflj; start evidence only
0x0ae4f0	0x36	0x36	20	fcn.004ae4f0	radare2 -AA/aflj; start evidence only
0x0ae530	0x11	0x11	9	fcn.004ae530	radare2 -AA/aflj; start evidence only
0x0ae550	0x11	0x11	9	fcn.004ae550	radare2 -AA/aflj; start evidence only
0x0ae570	0x3f	0x3f	24	fcn.004ae570	radare2 -AA/aflj; start evidence only
0x0ae5b0	0x2b	0x2b	17	fcn.004ae5b0	radare2 -AA/aflj; start evidence only
0x0ae5e0	0x2a	0x2a	18	fcn.004ae5e0	radare2 -AA/aflj; start evidence only
0x0ae610	0x3f	0x3f	24	fcn.004ae610	radare2 -AA/aflj; start evidence only
0x0ae650	0x19	0x19	10	fcn.004ae650	radare2 -AA/aflj; start evidence only
0x0ae670	0x46	0x46	30	fcn.004ae670	radare2 -AA/aflj; start evidence only
0x0ae6c0	0xb4	0xb4	44	fcn.004ae6c0	radare2 -AA/aflj; start evidence only
0x0ae780	0x4e	0x4e	21	fcn.004ae780	radare2 -AA/aflj; start evidence only
0x0ae7d0	0x1a	0x1a	9	fcn.004ae7d0	radare2 -AA/aflj; start evidence only
0x0ae7f0	0x9a	0x9a	46	fcn.004ae7f0	radare2 -AA/aflj; start evidence only
0x0ae8b0	0x70	0x70	35	fcn.004ae8b0	radare2 -AA/aflj; start evidence only
0x0ae920	0x1f	0x1f	17	fcn.004ae920	radare2 -AA/aflj; start evidence only
0x0ae940	0x15b	0x15b	120	fcn.004ae940	radare2 -AA/aflj; start evidence only
0x0aeaa0	0x1d3	0x1d3	127	fcn.004aeaa0	radare2 -AA/aflj; start evidence only
0x0aec80	0xba	0xba	49	fcn.004aec80	radare2 -AA/aflj; start evidence only
0x0aed40	0x90	0x90	54	fcn.004aed40	radare2 -AA/aflj; start evidence only
0x0aedd0	0x2c	0x2c	13	fcn.004aedd0	radare2 -AA/aflj; start evidence only
0x0aee00	0x17	0x17	5	fcn.004aee00	radare2 -AA/aflj; start evidence only
0x0aee20	0x3af	0x3af	291	fcn.004aee20	radare2 -AA/aflj; start evidence only
0x0af1d0	0x12	0x12	7	fcn.004af1d0	radare2 -AA/aflj; start evidence only
0x0af1f0	0x6f	0x6f	39	fcn.004af1f0	radare2 -AA/aflj; start evidence only
0x0af260	0x53	0x53	32	fcn.004af260	radare2 -AA/aflj; start evidence only
0x0af2c0	0x29	0x29	9	fcn.004af2c0	radare2 -AA/aflj; start evidence only
0x0af310	0xc97	0x21	10	fcn.004af310	radare2 -AA/aflj; start evidence only
0x0af350	0x19	0x19	7	fcn.004af350	radare2 -AA/aflj; start evidence only
0x0af3a0	0x7	0x7	2	fcn.004af3a0	radare2 -AA/aflj; start evidence only
0x0af3c0	0x19	0x19	7	fcn.004af3c0	radare2 -AA/aflj; start evidence only
0x0af420	0x19	0x19	7	fcn.004af420	radare2 -AA/aflj; start evidence only
0x0af480	0x19	0x19	7	fcn.004af480	radare2 -AA/aflj; start evidence only
0x0af4d0	0x447	0x447	314	fcn.004af4d0	radare2 -AA/aflj; start evidence only
0x0af920	0x94	0x94	47	fcn.004af920	radare2 -AA/aflj; start evidence only
0x0af9f0	0x4f9	0x4f9	370	fcn.004af9f0	radare2 -AA/aflj; start evidence only
0x0afef0	0x93	0x93	66	fcn.004afef0	radare2 -AA/aflj; start evidence only
0x0affb0	0x51	0x51	23	fcn.004affb0	radare2 -AA/aflj; start evidence only
0x0b0220	0x5	0x5	1	fcn.004b0220	radare2 -AA/aflj; start evidence only
0x0b0230	0x51	0x51	29	fcn.004b0230	radare2 -AA/aflj; start evidence only
0x0b0be0	0xe9	0xe9	92	fcn.004b0be0	radare2 -AA/aflj; start evidence only
0x0b0cd0	0x53	0x53	31	fcn.004b0cd0	radare2 -AA/aflj; start evidence only
0x0b0d30	0x47	0x47	23	fcn.004b0d30	radare2 -AA/aflj; start evidence only
0x0b0d80	0x84	0x84	47	fcn.004b0d80	radare2 -AA/aflj; start evidence only
0x0b0e10	0x1a	0x1a	8	fcn.004b0e10	radare2 -AA/aflj; start evidence only
0x0b10f0	0xe7	0xe7	53	fcn.004b10f0	radare2 -AA/aflj; start evidence only
0x0b11e0	0x147	0x147	90	fcn.004b11e0	radare2 -AA/aflj; start evidence only
0x0b1330	0x20	0x20	12	fcn.004b1330	radare2 -AA/aflj; start evidence only
0x0b1380	0x7f	0x7f	46	fcn.004b1380	radare2 -AA/aflj; start evidence only
0x0b16f0	0x321	0x321	257	fcn.004b16f0	radare2 -AA/aflj; start evidence only
0x0b1a20	0x5fb	0x5fb	433	fcn.004b1a20	radare2 -AA/aflj; start evidence only
0x0b2020	0x2b8	0x2b8	221	fcn.004b2020	radare2 -AA/aflj; start evidence only
0x0b22e0	0x306	0x306	232	fcn.004b22e0	radare2 -AA/aflj; start evidence only
0x0b25f0	0x30c	0x30c	235	fcn.004b25f0	radare2 -AA/aflj; start evidence only
0x0b2900	0x32f	0x32f	275	fcn.004b2900	radare2 -AA/aflj; start evidence only
0x0b2c30	0x2e7	0x2e7	244	fcn.004b2c30	radare2 -AA/aflj; start evidence only
0x0b2f20	0x2a0	0x2a0	221	fcn.004b2f20	radare2 -AA/aflj; start evidence only
0x0b31c0	0x1b2	0x1b2	128	fcn.004b31c0	radare2 -AA/aflj; start evidence only
0x0b3380	0x1b1	0x1b1	128	fcn.004b3380	radare2 -AA/aflj; start evidence only
0x0b3540	0x208	0x208	159	fcn.004b3540	radare2 -AA/aflj; start evidence only
0x0b3780	0x1c6	0x1c6	139	fcn.004b3780	radare2 -AA/aflj; start evidence only
0x0b3950	0x51	0x51	23	fcn.004b3950	radare2 -AA/aflj; start evidence only
0x0b3b80	0x16d	0x16d	133	fcn.004b3b80	radare2 -AA/aflj; start evidence only
0x0b3cf0	0x68	0x68	32	fcn.004b3cf0	radare2 -AA/aflj; start evidence only
0x0b3d80	0x58	0x58	25	fcn.004b3d80	radare2 -AA/aflj; start evidence only
0x0b3de0	0x90	0x90	42	fcn.004b3de0	radare2 -AA/aflj; start evidence only
0x0b42a0	0x148	0x148	73	fcn.004b42a0	radare2 -AA/aflj; start evidence only
0x0b4530	0x1b4	0x1b4	114	fcn.004b4530	radare2 -AA/aflj; start evidence only
0x0b46f0	0x142	0x142	79	fcn.004b46f0	radare2 -AA/aflj; start evidence only
0x0b4e60	0x127	0x127	90	fcn.004b4e60	radare2 -AA/aflj; start evidence only
0x0b4fa0	0xb9	0xb9	70	fcn.004b4fa0	radare2 -AA/aflj; start evidence only
0x0b55b0	0xc36	0xc36	844	fcn.004b55b0	radare2 -AA/aflj; start evidence only
0x0b61f0	0x30d	0x30d	247	fcn.004b61f0	radare2 -AA/aflj; start evidence only
0x0b6500	0x169	0x169	130	fcn.004b6500	radare2 -AA/aflj; start evidence only
0x0b6670	0xcf	0xcf	71	fcn.004b6670	radare2 -AA/aflj; start evidence only
0x0b6740	0x7c	0x7c	35	fcn.004b6740	radare2 -AA/aflj; start evidence only
0x0b67c0	0x15b	0x15b	105	fcn.004b67c0	radare2 -AA/aflj; start evidence only
0x0b6920	0x9c	0x9c	43	fcn.004b6920	radare2 -AA/aflj; start evidence only
0x0b69c0	0xae	0xae	53	fcn.004b69c0	radare2 -AA/aflj; start evidence only
0x0b6a70	0xae	0xae	53	fcn.004b6a70	radare2 -AA/aflj; start evidence only
0x0b6b20	0x35	0x35	14	fcn.004b6b20	radare2 -AA/aflj; start evidence only
0x0b6b60	0x7c	0x7c	35	fcn.004b6b60	radare2 -AA/aflj; start evidence only
0x0b6be0	0xd9	0xd9	59	fcn.004b6be0	radare2 -AA/aflj; start evidence only
0x0b6cc0	0x62	0x62	25	fcn.004b6cc0	radare2 -AA/aflj; start evidence only
0x0b6d30	0x62	0x62	25	fcn.004b6d30	radare2 -AA/aflj; start evidence only
0x0b6da0	0x2b	0x2b	14	fcn.004b6da0	radare2 -AA/aflj; start evidence only
0x0b6dd0	0x9f	0x9f	70	fcn.004b6dd0	radare2 -AA/aflj; start evidence only
0x0b6ed0	0x16b	0x16b	104	fcn.004b6ed0	radare2 -AA/aflj; start evidence only
0x0b7040	0x205	0x205	166	fcn.004b7040	radare2 -AA/aflj; start evidence only
0x0b7270	0xf	0xf	6	fcn.004b7270	radare2 -AA/aflj; start evidence only
0x0b7320	0x2c	0x2c	18	fcn.004b7320	radare2 -AA/aflj; start evidence only
0x0b7350	0xf7	0xf7	65	fcn.004b7350	radare2 -AA/aflj; start evidence only
0x0b7450	0x241	0x241	200	fcn.004b7450	radare2 -AA/aflj; start evidence only
0x0b77d0	0x131	0x131	75	fcn.004b77d0	radare2 -AA/aflj; start evidence only
0x0b7a40	0x184	0x184	103	fcn.004b7a40	radare2 -AA/aflj; start evidence only
0x0b7bd0	0x2f	0x2f	17	fcn.004b7bd0	radare2 -AA/aflj; start evidence only
0x0b7c00	0x2db	0x2db	191	fcn.004b7c00	radare2 -AA/aflj; start evidence only
0x0b8470	0xd7f	0xd7f	941	fcn.004b8470	radare2 -AA/aflj; start evidence only
0x0b91f0	0x156	0x156	128	fcn.004b91f0	radare2 -AA/aflj; start evidence only
0x0b9350	0x153	0x153	104	fcn.004b9350	radare2 -AA/aflj; start evidence only
0x0b94b0	0xcc	0xcc	48	fcn.004b94b0	radare2 -AA/aflj; start evidence only
0x0b9580	0x58	0x58	32	fcn.004b9580	radare2 -AA/aflj; start evidence only
0x0b95e0	0x153	0x153	104	fcn.004b95e0	radare2 -AA/aflj; start evidence only
0x0b9740	0xc4	0xc4	51	fcn.004b9740	radare2 -AA/aflj; start evidence only
0x0b9810	0x58	0x58	32	fcn.004b9810	radare2 -AA/aflj; start evidence only
0x0b9870	0x123	0x123	82	fcn.004b9870	radare2 -AA/aflj; start evidence only
0x0b99a0	0x12d	0x12d	83	fcn.004b99a0	radare2 -AA/aflj; start evidence only
0x0b9ad0	0x5f	0x5f	24	fcn.004b9ad0	radare2 -AA/aflj; start evidence only
0x0b9b30	0x4b	0x4b	27	fcn.004b9b30	radare2 -AA/aflj; start evidence only
0x0b9d80	0xde	0xde	82	fcn.004b9d80	radare2 -AA/aflj; start evidence only
0x0b9e60	0x469	0x469	351	fcn.004b9e60	radare2 -AA/aflj; start evidence only
0x0ba4a0	0xb1	0xb1	56	fcn.004ba4a0	radare2 -AA/aflj; start evidence only
0x0ba560	0xb1	0xb1	56	fcn.004ba560	radare2 -AA/aflj; start evidence only
0x0bab10	0x294	0x294	212	fcn.004bab10	radare2 -AA/aflj; start evidence only
0x0badb0	0xf0	0xf0	60	fcn.004badb0	radare2 -AA/aflj; start evidence only
0x0baea0	0xe0	0xe0	59	fcn.004baea0	radare2 -AA/aflj; start evidence only
