# retail_sha256=5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3
# Analyzer starts are evidence only; sizes never override FPO/structural extents.
rva	size	real_size	instructions	name	source
0x021a54	0xf2	0xf2	72	fcn.00421a54	radare2 -AA/aflj; start evidence only
0x021b46	0x400	0x400	267	fcn.00421b46	radare2 -AA/aflj; start evidence only
0x021f46	0x437	0x437	273	fcn.00421f46	radare2 -AA/aflj; start evidence only
0x022399	0x790	0x790	479	fcn.00422399	radare2 -AA/aflj; start evidence only
0x022b29	0x35	0x35	20	fcn.00422b29	radare2 -AA/aflj; start evidence only
0x022b5e	0x614	0x614	378	fcn.00422b5e	radare2 -AA/aflj; start evidence only
0x023180	0x2e	0x2e	18	fcn.00423180	radare2 -AA/aflj; start evidence only
0x0231b0	0x11	0x11	9	fcn.004231b0	radare2 -AA/aflj; start evidence only
0x0231d0	0x13	0x13	8	fcn.004231d0	radare2 -AA/aflj; start evidence only
0x0231f0	0x26	0x26	17	fcn.004231f0	radare2 -AA/aflj; start evidence only
0x023220	0xd	0xd	7	fcn.00423220	radare2 -AA/aflj; start evidence only
0x023230	0xf	0xf	8	fcn.00423230	radare2 -AA/aflj; start evidence only
0x023240	0xf	0xf	8	fcn.00423240	radare2 -AA/aflj; start evidence only
0x023250	0xf	0xf	8	fcn.00423250	radare2 -AA/aflj; start evidence only
0x023260	0x19	0x19	11	fcn.00423260	radare2 -AA/aflj; start evidence only
0x023280	0x2eb	0x2eb	255	fcn.00423280	radare2 -AA/aflj; start evidence only
0x023570	0x31b	0x31b	270	fcn.00423570	radare2 -AA/aflj; start evidence only
0x023890	0x99	0x99	47	fcn.00423890	radare2 -AA/aflj; start evidence only
0x023930	0x361	0x361	300	fcn.00423930	radare2 -AA/aflj; start evidence only
0x023ca0	0x99	0x99	47	fcn.00423ca0	radare2 -AA/aflj; start evidence only
0x023d40	0x369	0x369	300	fcn.00423d40	radare2 -AA/aflj; start evidence only
0x0240b0	0x99	0x99	47	fcn.004240b0	radare2 -AA/aflj; start evidence only
0x024150	0x3c4	0x3c4	327	fcn.00424150	radare2 -AA/aflj; start evidence only
0x024520	0x99	0x99	47	fcn.00424520	radare2 -AA/aflj; start evidence only
0x0245c0	0x369	0x369	300	fcn.004245c0	radare2 -AA/aflj; start evidence only
0x024930	0x11	0x11	9	fcn.00424930	radare2 -AA/aflj; start evidence only
0x024950	0xa5	0xa5	56	fcn.00424950	radare2 -AA/aflj; start evidence only
0x024a00	0x23	0x23	12	fcn.00424a00	radare2 -AA/aflj; start evidence only
0x024a30	0x274	0x274	213	fcn.00424a30	radare2 -AA/aflj; start evidence only
0x024cb0	0xd	0xd	8	fcn.00424cb0	radare2 -AA/aflj; start evidence only
0x024cc0	0xd	0xd	8	fcn.00424cc0	radare2 -AA/aflj; start evidence only
0x024cd0	0x103	0x103	80	fcn.00424cd0	radare2 -AA/aflj; start evidence only
0x024de0	0xb	0xb	7	fcn.00424de0	radare2 -AA/aflj; start evidence only
0x024df0	0x14	0x14	9	fcn.00424df0	radare2 -AA/aflj; start evidence only
0x024e10	0x14	0x14	9	fcn.00424e10	radare2 -AA/aflj; start evidence only
0x024e30	0x25	0x25	13	fcn.00424e30	radare2 -AA/aflj; start evidence only
0x024e60	0x142	0x142	93	fcn.00424e60	radare2 -AA/aflj; start evidence only
0x024fb0	0x43e	0x43e	369	fcn.00424fb0	radare2 -AA/aflj; start evidence only
0x0253f0	0x2e	0x2e	18	fcn.004253f0	radare2 -AA/aflj; start evidence only
0x025420	0x13	0x13	9	fcn.00425420	radare2 -AA/aflj; start evidence only
0x025440	0x2e	0x2e	18	fcn.00425440	radare2 -AA/aflj; start evidence only
0x025470	0x13	0x13	9	fcn.00425470	radare2 -AA/aflj; start evidence only
0x025490	0x103	0x103	80	fcn.00425490	radare2 -AA/aflj; start evidence only
0x0255a0	0x142	0x142	93	fcn.004255a0	radare2 -AA/aflj; start evidence only
0x0256f0	0x428	0x428	363	fcn.004256f0	radare2 -AA/aflj; start evidence only
0x025b20	0xb6	0xb6	57	fcn.00425b20	radare2 -AA/aflj; start evidence only
0x025be0	0x396	0x396	309	fcn.00425be0	radare2 -AA/aflj; start evidence only
0x025f80	0x19	0x19	11	fcn.00425f80	radare2 -AA/aflj; start evidence only
0x025fa0	0x11	0x11	9	fcn.00425fa0	radare2 -AA/aflj; start evidence only
0x025fc0	0x19	0x19	11	fcn.00425fc0	radare2 -AA/aflj; start evidence only
0x025fe0	0x19	0x19	11	fcn.00425fe0	radare2 -AA/aflj; start evidence only
0x026000	0x99	0x99	47	fcn.00426000	radare2 -AA/aflj; start evidence only
0x0260a0	0x369	0x369	300	fcn.004260a0	radare2 -AA/aflj; start evidence only
0x026410	0x2e	0x2e	18	fcn.00426410	radare2 -AA/aflj; start evidence only
0x026440	0x2e	0x2e	18	fcn.00426440	radare2 -AA/aflj; start evidence only
0x026470	0x2e	0x2e	18	fcn.00426470	radare2 -AA/aflj; start evidence only
0x0264a0	0x2e	0x2e	18	fcn.004264a0	radare2 -AA/aflj; start evidence only
0x0264d0	0x2e	0x2e	18	fcn.004264d0	radare2 -AA/aflj; start evidence only
0x026500	0x2e	0x2e	18	fcn.00426500	radare2 -AA/aflj; start evidence only
0x026530	0x2e	0x2e	18	fcn.00426530	radare2 -AA/aflj; start evidence only
0x026560	0x2e	0x2e	18	fcn.00426560	radare2 -AA/aflj; start evidence only
0x026590	0x2e3	0x2e3	254	fcn.00426590	radare2 -AA/aflj; start evidence only
0x026880	0x2e9	0x2e9	254	fcn.00426880	radare2 -AA/aflj; start evidence only
0x026b70	0x59	0x59	33	fcn.00426b70	radare2 -AA/aflj; start evidence only
0x026bd0	0x2e9	0x2e9	254	fcn.00426bd0	radare2 -AA/aflj; start evidence only
0x026ec0	0x18f	0x18f	125	fcn.00426ec0	radare2 -AA/aflj; start evidence only
0x027050	0x7a	0x7a	46	fcn.00427050	radare2 -AA/aflj; start evidence only
0x0270d0	0x7c	0x7c	49	fcn.004270d0	radare2 -AA/aflj; start evidence only
0x027150	0x391	0x391	304	fcn.00427150	radare2 -AA/aflj; start evidence only
0x0274f0	0x313	0x313	266	fcn.004274f0	radare2 -AA/aflj; start evidence only
0x027810	0x2e	0x2e	18	fcn.00427810	radare2 -AA/aflj; start evidence only
0x027840	0x73	0x73	40	fcn.00427840	radare2 -AA/aflj; start evidence only
0x0278c0	0x133	0x133	110	fcn.004278c0	radare2 -AA/aflj; start evidence only
0x027a00	0x73	0x73	40	fcn.00427a00	radare2 -AA/aflj; start evidence only
0x027a80	0x133	0x133	110	fcn.00427a80	radare2 -AA/aflj; start evidence only
0x027bc0	0x5e	0x5e	34	fcn.00427bc0	radare2 -AA/aflj; start evidence only
0x027c20	0x39	0x39	23	fcn.00427c20	radare2 -AA/aflj; start evidence only
0x027c70	0x2422	0x14c	105	fcn.00427c70	radare2 -AA/aflj; start evidence only
0x027d20	0x10	0x10	4	fcn.00427d20	radare2 -AA/aflj; start evidence only
0x027da0	0x46	0x46	18	fcn.00427da0	radare2 -AA/aflj; start evidence only
0x027df0	0x68e	0x68e	518	fcn.00427df0	radare2 -AA/aflj; start evidence only
0x0284a0	0x1c	0x1c	11	fcn.004284a0	radare2 -AA/aflj; start evidence only
0x0284e0	0x196	0x196	127	fcn.004284e0	radare2 -AA/aflj; start evidence only
0x0286a0	0x4b	0x4b	20	fcn.004286a0	radare2 -AA/aflj; start evidence only
0x0286f0	0xf3	0xf3	85	fcn.004286f0	radare2 -AA/aflj; start evidence only
0x0287f0	0x71	0x71	33	fcn.004287f0	radare2 -AA/aflj; start evidence only
0x028ad0	0x2d	0x2d	19	fcn.00428ad0	radare2 -AA/aflj; start evidence only
0x028b90	0x19	0x19	9	fcn.00428b90	radare2 -AA/aflj; start evidence only
0x028bd0	0x5	0x5	1	fcn.00428bd0	radare2 -AA/aflj; start evidence only
0x028c50	0x1b8	0x1b8	139	fcn.00428c50	radare2 -AA/aflj; start evidence only
0x028e30	0x5	0x5	1	fcn.00428e30	radare2 -AA/aflj; start evidence only
0x028e40	0x19	0x19	9	fcn.00428e40	radare2 -AA/aflj; start evidence only
0x0291e0	0x80	0x80	49	fcn.004291e0	radare2 -AA/aflj; start evidence only
0x029260	0xab	0xab	58	fcn.00429260	radare2 -AA/aflj; start evidence only
0x029310	0x1be	0x1be	139	fcn.00429310	radare2 -AA/aflj; start evidence only
0x0294f0	0x5	0x5	1	fcn.004294f0	radare2 -AA/aflj; start evidence only
0x029500	0x56	0x56	30	fcn.00429500	radare2 -AA/aflj; start evidence only
0x029560	0x18a	0x18a	126	fcn.00429560	radare2 -AA/aflj; start evidence only
0x0296f0	0x12e	0x12e	95	fcn.004296f0	radare2 -AA/aflj; start evidence only
0x029a80	0x1d4	0x1d4	144	fcn.00429a80	radare2 -AA/aflj; start evidence only
0x029c80	0x5	0x5	1	fcn.00429c80	radare2 -AA/aflj; start evidence only
0x029c90	0x122	0x122	119	fcn.00429c90	radare2 -AA/aflj; start evidence only
0x029dc0	0x70	0x70	42	fcn.00429dc0	radare2 -AA/aflj; start evidence only
0x02a220	0xa5	0xa5	59	fcn.0042a220	radare2 -AA/aflj; start evidence only
0x02a2d0	0x10a	0x10a	95	fcn.0042a2d0	radare2 -AA/aflj; start evidence only
0x02a3e0	0x153	0x69	48	fcn.0042a3e0	radare2 -AA/aflj; start evidence only
0x02a400	0x1f	0x1f	14	fcn.0042a400	radare2 -AA/aflj; start evidence only
0x02a420	0xb8	0xb8	78	fcn.0042a420	radare2 -AA/aflj; start evidence only
0x02a540	0x34	0x34	26	fcn.0042a540	radare2 -AA/aflj; start evidence only
0x02a580	0x125	0x125	102	fcn.0042a580	radare2 -AA/aflj; start evidence only
0x02a6b0	0x15	0x15	7	fcn.0042a6b0	radare2 -AA/aflj; start evidence only
0x02a6d0	0x105	0x105	82	fcn.0042a6d0	radare2 -AA/aflj; start evidence only
0x02a7e0	0x20c	0x20c	181	fcn.0042a7e0	radare2 -AA/aflj; start evidence only
0x02a9f0	0x337	0x337	294	fcn.0042a9f0	radare2 -AA/aflj; start evidence only
0x02ad30	0x377	0x377	338	fcn.0042ad30	radare2 -AA/aflj; start evidence only
0x02b0b0	0x52	0x52	27	fcn.0042b0b0	radare2 -AA/aflj; start evidence only
0x02b110	0x32	0x32	13	fcn.0042b110	radare2 -AA/aflj; start evidence only
0x02b150	0x1ae	0x1ae	145	fcn.0042b150	radare2 -AA/aflj; start evidence only
0x02b300	0xfd	0xfd	95	fcn.0042b300	radare2 -AA/aflj; start evidence only
0x02b400	0xd6	0xd6	89	fcn.0042b400	radare2 -AA/aflj; start evidence only
0x02b4e0	0x39a	0x39a	317	fcn.0042b4e0	radare2 -AA/aflj; start evidence only
0x02b880	0x42	0x42	28	fcn.0042b880	radare2 -AA/aflj; start evidence only
0x02b8d0	0x14	0x14	6	fcn.0042b8d0	radare2 -AA/aflj; start evidence only
0x02b8f0	0x19	0x19	9	fcn.0042b8f0	radare2 -AA/aflj; start evidence only
0x02b930	0x5	0x5	1	fcn.0042b930	radare2 -AA/aflj; start evidence only
0x02b9b0	0x46	0x46	18	fcn.0042b9b0	radare2 -AA/aflj; start evidence only
0x02ba00	0x1e	0x1e	11	method.CGdiObject.virtual_4	radare2 -AA/aflj; start evidence only
0x02ba20	0x46	0x46	18	fcn.0042ba20	radare2 -AA/aflj; start evidence only
0x02bb50	0x2a	0x2a	21	fcn.0042bb50	radare2 -AA/aflj; start evidence only
0x02bb80	0x7f	0x7f	37	fcn.0042bb80	radare2 -AA/aflj; start evidence only
0x02bc00	0x63	0x63	25	fcn.0042bc00	radare2 -AA/aflj; start evidence only
0x02bc70	0x1e5	0x1e5	126	fcn.0042bc70	radare2 -AA/aflj; start evidence only
0x02be60	0x2fc	0x2fc	202	fcn.0042be60	radare2 -AA/aflj; start evidence only
