# retail_sha256=5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3
# Manually maintained after the initial executable-structure bootstrap.
# Generators validate required executable-native starts but never rewrite this file.
rva	kind
0x197000	
0x197058	vtable
0x197070	vtable
0x197088	vtable
0x197100	vtable
0x197118	vtable
0x197130	vtable
0x197148	vtable
0x197160	vtable
0x1971c0	vtable
0x1971d8	vtable
0x1971f0	vtable
0x197248	vtable
0x1972a0	vtable
0x1972b8	
0x1972d0	
0x1972e8	
0x197300	
0x197318	
0x197330	
0x197348	
0x197360	
0x197378	vtable
0x197390	vtable
0x1973c8	vtable
0x1973e0	vtable
0x197418	vtable
0x197460	vtable
0x1974a0	vtable
0x1974e0	vtable
0x1974f8	vtable
0x197550	vtable
0x1975c8	vtable
0x197640	vtable
0x1976b8	vtable
0x197730	vtable
0x1977b8	vtable
0x197830	vtable
0x1978a8	vtable
0x197920	vtable
0x1979a8	vtable
0x197a20	vtable
0x197aa8	vtable
0x197ac0	vtable
0x197b38	vtable
0x197bc0	vtable
0x197c48	vtable
0x197c60	vtable
0x197ce8	vtable
0x197d70	vtable
0x197df8	vtable
0x197e80	vtable
0x197ef8	vtable
0x197f80	vtable
0x198008	vtable
0x198090	vtable
0x198118	vtable
0x1981a0	vtable
0x198228	vtable
0x1982b8	vtable
0x198348	vtable
0x1983d8	vtable
0x198468	vtable
0x1984f8	vtable
0x198588	vtable
0x198610	vtable
0x198698	vtable
0x198728	vtable
0x1987b0	vtable
0x198840	vtable
0x1988c8	vtable
0x198958	vtable
0x1989e8	vtable
0x198a78	vtable
0x198af0	vtable
0x198b78	vtable
0x198c00	vtable
0x198c90	vtable
0x198d18	vtable
0x198d98	vtable
0x198e18	vtable
0x198e98	vtable
0x198f10	vtable
0x198f28	vtable
0x198f40	vtable
0x198f58	vtable
0x198f70	vtable
0x198ff8	vtable
0x199030	vtable
0x199048	vtable
0x199060	vtable
0x199078	vtable
0x199108	vtable
0x199138	vtable
0x199158	vtable
0x199178	
0x199190	
0x1991a8	
0x1991c0	
0x1991d8	
0x1991f0	
0x199208	
0x199220	
0x199238	
0x199270	vtable
0x1992c8	vtable
0x1992e0	vtable
0x199338	vtable
0x199390	vtable
0x1993e8	vtable
0x199470	vtable
0x1994f8	vtable
0x199550	vtable
0x1995d8	vtable
0x1995f0	vtable
0x199630	vtable
0x199648	vtable
0x199660	vtable
0x199678	vtable
0x199690	vtable
0x1996a8	vtable
0x1996c0	vtable
0x1996d8	vtable
0x1996f0	vtable
0x199708	vtable
0x199720	vtable
0x199738	vtable
0x199750	vtable
0x199768	vtable
0x199780	vtable
0x199bb8	
0x199d10	vtable
0x199db8	vtable
0x199eb8	vtable
0x199ed0	vtable
0x199ee8	vtable
0x199f60	vtable
0x199fd8	vtable
0x19a050	vtable
0x19a068	vtable
0x19a0f0	vtable
0x19a1a0	vtable
0x19a250	vtable
0x19a268	vtable
0x19a3d0	vtable
0x19a458	vtable
0x19a468	vtable
0x19a478	vtable
0x19a490	vtable
0x19a4a8	vtable
0x19a4c0	vtable
0x19a4d8	vtable
0x19a4f0	vtable
0x19a510	vtable
0x19a528	vtable
0x19a540	
0x19a558	vtable
0x19a570	vtable
0x19a5f8	vtable
0x19a670	vtable
0x19a6e8	vtable
0x19a760	vtable
0x19a7e8	vtable
0x19a860	vtable
0x19a878	vtable
0x19a890	vtable
0x19a8a8	vtable
0x19a8c0	vtable
0x19a8d8	vtable
0x19a8f0	vtable
0x19a908	vtable
0x19a928	vtable
0x19a968	vtable
0x19a980	vtable
0x19aa40	vtable
0x19ab00	vtable
0x19abc0	vtable
0x19ac80	vtable
0x19ad08	vtable
0x19ad98	vtable
0x19ae18	vtable
0x19ae30	vtable
0x19ae48	vtable
0x19aed8	string
0x19af20	string
0x19af50	vtable
0x19af68	vtable
0x19aff0	vtable
0x19b078	vtable
0x19b100	vtable
0x19b178	vtable
0x19b1f0	vtable
0x19b268	vtable
0x19b2f8	vtable
0x19b370	vtable
0x19b3e8	vtable
0x19b468	vtable
0x19b4f8	vtable
0x19b588	vtable
0x19b600	vtable
0x19b678	vtable
0x19b700	vtable
0x19b788	vtable
0x19b810	vtable
0x19b888	vtable
0x19b900	vtable
0x19b990	vtable
0x19ba08	vtable
0x19ba90	vtable
0x19baa8	vtable
0x19bac0	vtable
0x19bad8	vtable
0x19baf0	vtable
0x19bb08	vtable
0x19bd30	vtable
0x19bd48	vtable
0x19bd60	vtable
0x19bd80	vtable
0x19bd98	vtable
0x19bdb8	vtable
0x19bdc0	vtable
0x19bdd8	vtable
0x19bdf0	vtable
0x19be08	vtable
0x19be20	vtable
0x19be38	vtable
0x19be50	vtable
0x19be68	vtable
0x19be80	vtable
0x19be98	vtable
0x19beb0	vtable
0x19bec8	vtable
0x19bee0	vtable
0x19bef8	vtable
0x19bf10	vtable
0x19bf28	vtable
0x19bf40	vtable
0x19bf58	vtable
0x19bf70	vtable
0x19bf88	vtable
0x19bfa0	vtable
0x19bfb8	vtable
0x19bfd0	vtable
0x19c008	vtable
0x19c040	vtable
0x19c0b0	vtable
0x19c120	vtable
0x19c138	vtable
0x19c1a8	vtable
0x19c1c0	vtable
0x19c200	vtable
0x19c240	vtable
0x19c280	vtable
0x19c2c0	vtable
0x19c2d8	vtable
0x19c330	vtable
0x19c388	vtable
0x19c3c8	vtable
0x19c408	vtable
0x19c448	vtable
0x19c488	vtable
0x19c4a0	vtable
0x19c4b8	vtable
0x19c4d0	vtable
