# retail_sha256=5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3
# Pure six-byte bodies in exact FPO records or contiguous retail IAT-stub bands.
rva	size	iat_rva	import	evidence
0x150a76	0x6	0x23302c	smackw32.dll!_SmackBlitSetPalette@12	contiguous ff25 <IAT> stub band (19 entries, 0x150a40..0x150ab2)
0x150a7c	0x6	0x233018	smackw32.dll!_SmackBufferFocused@4	contiguous ff25 <IAT> stub band (19 entries, 0x150a40..0x150ab2)
0x150a82	0x6	0x233034	smackw32.dll!_SmackSoundOnOff@8	contiguous ff25 <IAT> stub band (19 entries, 0x150a40..0x150ab2)
0x150a88	0x6	0x233038	smackw32.dll!_SmackBlitOpen@4	contiguous ff25 <IAT> stub band (19 entries, 0x150a40..0x150ab2)
0x150a8e	0x6	0x23303c	smackw32.dll!_SmackOpen@12	contiguous ff25 <IAT> stub band (19 entries, 0x150a40..0x150ab2)
0x150a94	0x6	0x233040	smackw32.dll!_SmackBlitClose@4	contiguous ff25 <IAT> stub band (19 entries, 0x150a40..0x150ab2)
0x150a9a	0x6	0x233044	smackw32.dll!_SmackClose@4	contiguous ff25 <IAT> stub band (19 entries, 0x150a40..0x150ab2)
0x150aa0	0x6	0x233048	smackw32.dll!_SmackBufferClose@4	contiguous ff25 <IAT> stub band (19 entries, 0x150a40..0x150ab2)
0x150aa6	0x6	0x23304c	smackw32.dll!_SmackToBuffer@28	contiguous ff25 <IAT> stub band (19 entries, 0x150a40..0x150ab2)
0x150aac	0x6	0x233030	smackw32.dll!_SmackBufferOpen@24	contiguous ff25 <IAT> stub band (19 entries, 0x150a40..0x150ab2)
0x15bf40	0x6	0x232c48	KERNEL32.dll!GetCurrentThreadId	exact FPO body ff25 <IAT>
0x15bf50	0x6	0x232b30	KERNEL32.dll!GetCurrentThread	exact FPO body ff25 <IAT>
0x16bd50	0x6	0x232c30	KERNEL32.dll!CompareFileTime	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bd56	0x6	0x232d10	KERNEL32.dll!FindClose	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bd5c	0x6	0x232d0c	KERNEL32.dll!FindNextFileA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bd62	0x6	0x232d08	KERNEL32.dll!FindFirstFileA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bd68	0x6	0x232d04	KERNEL32.dll!DeleteFileA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bd6e	0x6	0x232d00	KERNEL32.dll!GetComputerNameA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bd74	0x6	0x232cfc	KERNEL32.dll!WaitForSingleObject	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bd7a	0x6	0x232cf8	KERNEL32.dll!CloseHandle	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bd80	0x6	0x232cf4	KERNEL32.dll!SetEvent	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
